stressed,sadness,anxious,avg_hr,hrv,activity
0,0.1,0.9,110,0.57,Drink_herbal_tea
0,0.2,0.8,105,0.28,Try_aromatherapy
0,0.3,0.7,101,0.18,Talk_to_a_friend
0,0.4,0.6,99,0.13,Go_outside
0,0.5,0.5,89,0.17,Watch_a_movie
0,0.6,0.4,99,0.04,Try_painting
0,0.7,0.3,86,0.37,Make_a_list_of_things_that_you_are_thankful_for
0,0.8,0.2,91,0.59,Write_down_why_you_feel_sad
0,0.9,0.1,89,0.21,Cry_a_little
0.1,0,0.9,111,0.43,Spend_time_with_a_loved_one
0.1,0.1,0.8,107,0.09,Have_ice-cream
0.1,0.2,0.7,101,0.11,Go_to_the_gym
0.1,0.3,0.6,99,0.06,Watch_your_favorite_cartoon
0.1,0.4,0.5,95,0.63,Take_a_bath
0.1,0.5,0.4,92,0.53,Go_people_watching
0.1,0.6,0.3,99,0.4,Try_pottery
0.1,0.7,0.2,95,0.08,Visualise_your_future
0.1,0.8,0.1,86,0.1,Watch_a_funny_YouTube_video
0.1,0.9,0,89,0.55,Hug_your_pet
0.2,0,0.8,112,0.18,Listen_to_calming_sounds
0.2,0.1,0.7,105,0.08,Scream_into_a_pillow
0.2,0.2,0.6,100,0.55,Count_from_one_to_ten
0.2,0.3,0.5,98,0.4,Drink_warm_milk
0.2,0.4,0.4,82,0.89,normal
0.2,0.5,0.3,94,0.6,Do_some_journaling
0.2,0.6,0.2,100,0.04,Listen_to_uplifting_music
0.2,0.8,0,101,0.46,Treat_yourself_to_your_favorite_snack
0.3,0,0.7,98,0.41,Cuddle_a_soft_toy
0.3,0.1,0.6,94,0.67,Solve_a_puzzle
0.3,0.2,0.5,92,0.41,Talk_to_someone
0.3,0.3,0.4,80,1.1,normal
0.3,0.4,0.3,82,0.98,normal
0.3,0.5,0.2,100,0.28,Try_learning_a_new_cuisine
0.3,0.7,0,101,0.5,Think_of_your_favorite_memory
0.4,0,0.6,100,0.65,Take_a_break_from_technology
0.4,0.1,0.5,99,0.43,Have_a_cupcake
0.4,0.2,0.4,92,0.25,Try_wordle
0.4,0.3,0.3,78,0.93,normal
0.4,0.4,0.2,89,0.17,Go_on_a_solo_date
0.4,0.5,0.1,89,0.52,Try_learning_a_new_language
0.4,0.6,0,89,0.08,Try_gardening
0.5,0,0.5,98,0.64,Jump_up_and_down
0.5,0.1,0.4,99,0.49,Sleep
0.5,0.2,0.3,102,0.02,Try_doodling
0.5,0.3,0.2,100,0.33,Go_for_a_walk
0.5,0.4,0.1,101,0.08,Take_an_energizing_snack
0.5,0.5,0,99,0.6,Look_at_the_sky
0.6,0,0.4,99,0.51,Listen_to_a_song
0.6,0.1,0.3,98,0.15,Laugh_out_loud
0.6,0.2,0.2,101,0.09,Go_to_the_beach
0.6,0.4,0,100,0.11,Read_a_book
0.7,0,0.3,98,0.58,Meditate
0.7,0.1,0.2,101,0.69,Try_yoga
0.7,0.3,0,100,0.18,Stretch
0.8,0,0.2,102,0.21,Take_a_power_nap
0.8,0.1,0.1,100,0.38,Take_a_break_from_technology
0.8,0.2,0,101,0.49,Go_for_a_run
0.9,0,0.1,105,0.07,Take_a_hot_shower
0.9,0.1,0,102,0.03,Take_deep_breaths
0,0.1,0.2,75,1.23,normal
0,0.1,0.3,80,1.18,normal
0,0.2,0.1,85,0.88,normal
0,0.2,0.3,86,1.25,normal
0,0.3,0.1,89,0.99,normal
0,0.3,0.2,88,1.26,normal
0.1,0,0.2,69,1.49,normal
0.1,0,0.3,79,1.26,normal
0.1,0.2,0,78,1.04,normal
0.1,0.2,0.3,76,0.98,normal
0.1,0.3,0,82,1.49,normal
0.1,0.3,0.2,83,0.87,normal
0.2,0,0.1,85,1.42,normal
0.2,0,0.3,84,1.33,normal
0.2,0.1,0,84,1.32,normal
0.2,0.1,0.3,79,0.9,normal
0.2,0.3,0,78,1.07,normal
0.2,0.3,0.1,76,1.35,normal
0.3,0,0.1,83,1.47,normal
0.3,0,0.2,89,1,normal
0.3,0.1,0,86,1,normal
0.3,0.1,0.2,81,1.47,normal
0.3,0.2,0,82,1.24,normal
0.3,0.2,0.1,85,1.26,normal
